method method_param p change_param n_sim edd sd_edd edd_lower edd_upper
mix 0.03 0.3 0.5 500 8.964 1.334 7 9
mix 0.1 0.3 0.5 500 7.998 1.227 6 8
mix 0.3 0.3 0.5 500 7.52 1.284 5 7
mix 1 0.3 0.5 500 7.29 1.324 5 7
max_pca 1 0.3 0.75 500 1760.63 608.091 126.475 2000
max_pca 2 0.3 0.75 500 959.738 903.081 94.475 214.025
max_pca 3 0.3 0.75 500 131.066 90.196 73 123.025
max_pca 5 0.3 0.75 500 81.654 15.547 53.475 80
max_pca 10 0.3 0.75 500 62.398 9.531 45 61.025
max_pca 20 0.3 0.75 500 46.82 6.314 35 46
min_pca 1 0.3 0.75 500 1977.89 200.866 2000 2000
min_pca 2 0.3 0.75 500 2000 0 2000 2000
min_pca 3 0.3 0.75 500 1930.87 348.189 190.425 2000
min_pca 5 0.3 0.75 500 1887.484 438.1 188.475 2000
min_pca 10 0.3 0.75 500 1757.172 617.948 178.475 2000
